add.POSIXct,viz_owner_repo,video,source,title
2025-06-06T08:42:22.093814Z,tdhock/OP-demo,"",https://github.com/tdhock/functional-pruning-theory/blob/master/classic-demos.R,Optimal partitioning demo
2025-06-06T08:42:22.093814Z,tdhock/FL-demo,"",https://github.com/tdhock/functional-pruning-theory/blob/master/classic-demos.R,Fused Lasso signal approximator demo
2025-06-06T08:42:22.093814Z,tdhock/SN-demo,"",https://github.com/tdhock/functional-pruning-theory/blob/master/classic-demos.R,Segment neighborhood demo
2025-06-06T08:47:52.620481Z,tdhock/2023-11-interval-regression-differences,"",https://github.com/tdhock/change-tutorial/blob/master/figure-differences-interactive.R,AIC/BIC change-point detection comparison using ROC curves
2025-06-06T08:47:52.620481Z,nhintruong/breakpoints,"",https://github.com/animint/animint2/blob/4b1049bc1d8ee8dbd78b31f52a5863496fae5931/inst/examples/breakpoints.R,breakpoints select multiple segmentation models
2025-06-06T08:47:52.620481Z,tdhock/2025-02-03-aum-convexity,https://vimeo.com/1053132517,https://github.com/tdhock/max-generalized-auc/blob/master/figure-aum-convexity-interactive.R,Simple non-monotonic ROC curve
2025-06-06T12:56:49.686561Z,tdhock/2024-08-bic-learned-details,https://vimeo.com/1051547245,https://github.com/tdhock/change-tutorial/blob/master/figure-regression-interactive-some.R,BIC versus learned penalty in neuroblastoma data
2025-06-06T12:56:49.686561Z,tdhock/2024-07-04-HMM-angular-data,https://vimeo.com/1052600378,https://github.com/tdhock/angular-change-paper/blob/main/figure-2d-hmm-real-interactive.R,Hidden Markov Model for 2d angular data
2025-06-06T12:56:49.686561Z,suhaani-agarwal/Demo_Constrained_PDPA,"",https://github.com/suhaani-agarwal/PeakSegFPOP-paper/blob/master/figure-constrained-PDPA-normal-real.R,Demo of Constrained Pruned Dynamic Programming Algorithm
2025-06-06T12:56:49.686561Z,suhaani-agarwal/intreg-BIC,"",https://github.com/suhaani-agarwal/animint/blob/master/inst/examples/intreg_BIC.R,Segmentation model selection with BIC
2025-09-16T14:30:34.973496Z,tdhock/figure-binseg-cv-one-split,"",https://github.com/tdhock/binseg-model-selection/blob/main/figure-cv-interactive/figure-one-split.R,Cross-validation for change-point model selection
2025-09-16T15:20:22.380948Z,tdhock/figure-binseg-cv-one-split-duration,"",https://github.com/tdhock/binseg-model-selection/blob/main/figure-cv-interactive/figure-one-split-duration.R,Cross-validation for change-point model selection
2025-09-16T15:49:02.076301Z,tdhock/figure-several-splits,,https://github.com/tdhock/binseg-model-selection/blob/main/figure-cv-interactive/figure-one-split-duration.R,Cross-validation for change-point model selection
